data(decimal): 1, data(binary): 0000000001, data_error: 0, frame_error: 0
data(decimal): 2, data(binary): 0000000010, data_error: 0, frame_error: 0
data(decimal): 3, data(binary): 0000000011, data_error: 0, frame_error: 0
data(decimal): 4, data(binary): 0000000100, data_error: 0, frame_error: 0
data(decimal): 5, data(binary): 0000000101, data_error: 0, frame_error: 0
data(decimal): 6, data(binary): 0000000110, data_error: 0, frame_error: 0
data(decimal): 7, data(binary): 0000000111, data_error: 0, frame_error: 0
data(decimal): 8, data(binary): 0000001000, data_error: 0, frame_error: 0
data(decimal): 9, data(binary): 0000001001, data_error: 0, frame_error: 0
data(decimal): 10, data(binary): 0000001010, data_error: 0, frame_error: 0
data(decimal): 11, data(binary): 0000001011, data_error: 0, frame_error: 0
data(decimal): 12, data(binary): 0000001100, data_error: 0, frame_error: 0
data(decimal): 13, data(binary): 0000001101, data_error: 0, frame_error: 0
data(decimal): 14, data(binary): 0000001110, data_error: 0, frame_error: 0
data(decimal): 15, data(binary): 0000001111, data_error: 0, frame_error: 0
data(decimal): 16, data(binary): 0000010000, data_error: 0, frame_error: 0
data(decimal): 17, data(binary): 0000010001, data_error: 0, frame_error: 0
data(decimal): 18, data(binary): 0000010010, data_error: 0, frame_error: 0
data(decimal): 19, data(binary): 0000010011, data_error: 0, frame_error: 0
data(decimal): 20, data(binary): 0000010100, data_error: 0, frame_error: 0
data(decimal): 21, data(binary): 0000010101, data_error: 0, frame_error: 0
data(decimal): 22, data(binary): 0000010110, data_error: 0, frame_error: 0
data(decimal): 23, data(binary): 0000010111, data_error: 0, frame_error: 0
data(decimal): 24, data(binary): 0000011000, data_error: 0, frame_error: 0
data(decimal): 25, data(binary): 0000011001, data_error: 0, frame_error: 0
data(decimal): 26, data(binary): 0000011010, data_error: 0, frame_error: 0
data(decimal): 27, data(binary): 0000011011, data_error: 0, frame_error: 0
data(decimal): 28, data(binary): 0000011100, data_error: 0, frame_error: 0
data(decimal): 29, data(binary): 0000011101, data_error: 0, frame_error: 0
data(decimal): 30, data(binary): 0000011110, data_error: 0, frame_error: 0
data(decimal): 31, data(binary): 0000011111, data_error: 0, frame_error: 0
data(decimal): 32, data(binary): 0000100000, data_error: 0, frame_error: 0
data(decimal): 33, data(binary): 0000100001, data_error: 0, frame_error: 0
data(decimal): 34, data(binary): 0000100010, data_error: 0, frame_error: 0
data(decimal): 35, data(binary): 0000100011, data_error: 0, frame_error: 0
data(decimal): 36, data(binary): 0000100100, data_error: 0, frame_error: 0
data(decimal): 37, data(binary): 0000100101, data_error: 0, frame_error: 0
data(decimal): 38, data(binary): 0000100110, data_error: 0, frame_error: 0
data(decimal): 39, data(binary): 0000100111, data_error: 0, frame_error: 0
data(decimal): 40, data(binary): 0000101000, data_error: 0, frame_error: 0
data(decimal): 41, data(binary): 0000101001, data_error: 0, frame_error: 0
data(decimal): 42, data(binary): 0000101010, data_error: 0, frame_error: 0
data(decimal): 43, data(binary): 0000101011, data_error: 0, frame_error: 0
data(decimal): 44, data(binary): 0000101100, data_error: 0, frame_error: 0
data(decimal): 45, data(binary): 0000101101, data_error: 0, frame_error: 0
data(decimal): 46, data(binary): 0000101110, data_error: 0, frame_error: 0
data(decimal): 47, data(binary): 0000101111, data_error: 0, frame_error: 0
data(decimal): 48, data(binary): 0000110000, data_error: 0, frame_error: 0
data(decimal): 49, data(binary): 0000110001, data_error: 0, frame_error: 0
data(decimal): 50, data(binary): 0000110010, data_error: 0, frame_error: 0
data(decimal): 51, data(binary): 0000110011, data_error: 0, frame_error: 0
data(decimal): 52, data(binary): 0000110100, data_error: 0, frame_error: 0
data(decimal): 53, data(binary): 0000110101, data_error: 0, frame_error: 0
data(decimal): 54, data(binary): 0000110110, data_error: 0, frame_error: 0
data(decimal): 55, data(binary): 0000110111, data_error: 0, frame_error: 0
data(decimal): 56, data(binary): 0000111000, data_error: 0, frame_error: 0
data(decimal): 57, data(binary): 0000111001, data_error: 0, frame_error: 0
data(decimal): 58, data(binary): 0000111010, data_error: 0, frame_error: 0
data(decimal): 59, data(binary): 0000111011, data_error: 0, frame_error: 0
data(decimal): 60, data(binary): 0000111100, data_error: 0, frame_error: 0
data(decimal): 61, data(binary): 0000111101, data_error: 0, frame_error: 0
data(decimal): 62, data(binary): 0000111110, data_error: 0, frame_error: 0
data(decimal): 63, data(binary): 0000111111, data_error: 0, frame_error: 0
data(decimal): 64, data(binary): 0001000000, data_error: 0, frame_error: 0
data(decimal): 65, data(binary): 0001000001, data_error: 0, frame_error: 0
data(decimal): 66, data(binary): 0001000010, data_error: 0, frame_error: 0
data(decimal): 67, data(binary): 0001000011, data_error: 0, frame_error: 0
data(decimal): 68, data(binary): 0001000100, data_error: 0, frame_error: 0
data(decimal): 69, data(binary): 0001000101, data_error: 0, frame_error: 0
data(decimal): 70, data(binary): 0001000110, data_error: 0, frame_error: 0
data(decimal): 71, data(binary): 0001000111, data_error: 0, frame_error: 0
data(decimal): 72, data(binary): 0001001000, data_error: 0, frame_error: 0
data(decimal): 73, data(binary): 0001001001, data_error: 0, frame_error: 0
data(decimal): 74, data(binary): 0001001010, data_error: 0, frame_error: 0
data(decimal): 75, data(binary): 0001001011, data_error: 0, frame_error: 0
data(decimal): 76, data(binary): 0001001100, data_error: 0, frame_error: 0
data(decimal): 77, data(binary): 0001001101, data_error: 0, frame_error: 0
data(decimal): 78, data(binary): 0001001110, data_error: 0, frame_error: 0
data(decimal): 79, data(binary): 0001001111, data_error: 0, frame_error: 0
data(decimal): 80, data(binary): 0001010000, data_error: 0, frame_error: 0
data(decimal): 81, data(binary): 0001010001, data_error: 0, frame_error: 0
data(decimal): 82, data(binary): 0001010010, data_error: 0, frame_error: 0
data(decimal): 83, data(binary): 0001010011, data_error: 0, frame_error: 0
data(decimal): 84, data(binary): 0001010100, data_error: 0, frame_error: 0
data(decimal): 85, data(binary): 0001010101, data_error: 0, frame_error: 0
data(decimal): 86, data(binary): 0001010110, data_error: 0, frame_error: 0
data(decimal): 87, data(binary): 0001010111, data_error: 0, frame_error: 0
data(decimal): 88, data(binary): 0001011000, data_error: 0, frame_error: 0
data(decimal): 89, data(binary): 0001011001, data_error: 0, frame_error: 0
data(decimal): 90, data(binary): 0001011010, data_error: 0, frame_error: 0
data(decimal): 91, data(binary): 0001011011, data_error: 0, frame_error: 0
data(decimal): 92, data(binary): 0001011100, data_error: 0, frame_error: 0
data(decimal): 93, data(binary): 0001011101, data_error: 0, frame_error: 0
data(decimal): 94, data(binary): 0001011110, data_error: 0, frame_error: 0
data(decimal): 95, data(binary): 0001011111, data_error: 0, frame_error: 0
data(decimal): 96, data(binary): 0001100000, data_error: 0, frame_error: 0
data(decimal): 97, data(binary): 0001100001, data_error: 0, frame_error: 0
data(decimal): 98, data(binary): 0001100010, data_error: 0, frame_error: 0
data(decimal): 99, data(binary): 0001100011, data_error: 0, frame_error: 0
data(decimal): 100, data(binary): 0001100100, data_error: 0, frame_error: 0
data(decimal): 101, data(binary): 0001100101, data_error: 0, frame_error: 0
data(decimal): 102, data(binary): 0001100110, data_error: 0, frame_error: 0
data(decimal): 103, data(binary): 0001100111, data_error: 0, frame_error: 0
data(decimal): 104, data(binary): 0001101000, data_error: 0, frame_error: 0
data(decimal): 105, data(binary): 0001101001, data_error: 0, frame_error: 0
data(decimal): 106, data(binary): 0001101010, data_error: 0, frame_error: 0
data(decimal): 107, data(binary): 0001101011, data_error: 0, frame_error: 0
data(decimal): 108, data(binary): 0001101100, data_error: 0, frame_error: 0
data(decimal): 109, data(binary): 0001101101, data_error: 0, frame_error: 0
data(decimal): 110, data(binary): 0001101110, data_error: 0, frame_error: 0
data(decimal): 111, data(binary): 0001101111, data_error: 0, frame_error: 0
data(decimal): 112, data(binary): 0001110000, data_error: 0, frame_error: 0
data(decimal): 113, data(binary): 0001110001, data_error: 0, frame_error: 0
data(decimal): 114, data(binary): 0001110010, data_error: 0, frame_error: 0
data(decimal): 115, data(binary): 0001110011, data_error: 0, frame_error: 0
data(decimal): 116, data(binary): 0001110100, data_error: 0, frame_error: 0
data(decimal): 117, data(binary): 0001110101, data_error: 0, frame_error: 0
data(decimal): 118, data(binary): 0001110110, data_error: 0, frame_error: 0
data(decimal): 119, data(binary): 0001110111, data_error: 0, frame_error: 0
data(decimal): 120, data(binary): 0001111000, data_error: 0, frame_error: 0
data(decimal): 121, data(binary): 0001111001, data_error: 0, frame_error: 0
data(decimal): 122, data(binary): 0001111010, data_error: 0, frame_error: 0
data(decimal): 123, data(binary): 0001111011, data_error: 0, frame_error: 0
data(decimal): 124, data(binary): 0001111100, data_error: 0, frame_error: 0
data(decimal): 125, data(binary): 0001111101, data_error: 0, frame_error: 0
data(decimal): 126, data(binary): 0001111110, data_error: 0, frame_error: 0
data(decimal): 127, data(binary): 0001111111, data_error: 0, frame_error: 0
data(decimal): 128, data(binary): 0010000000, data_error: 0, frame_error: 0
